year,skill_stream,family_stream,child_stream,special_eligibility,total
1985-86,16200,62100,1300,400,80000
1986-87,28500,70700,1900,600,101700
1987-88,42000,77500,2000,600,122100
1988-89,51200,70400,2300,800,124700
1989-90,52700,64500,2100,900,120200
1990-91,49800,59300,2000,1200,112200
1991-92,41400,53700,2200,1700,98900
1992-93,21300,42600,2700,1400,67900
1993-94,18300,40700,2500,1300,62800
1994-95,30400,42000,2500,1600,76500
1995-96,24100,53870,2830,1700,82500
1996-97,34676,34993,2183,1735,73587
1997-98,34446,29093,2188,1113,66840
1998-99,34895,29967,2071,888,67821
1999-00,35352,29855,2162,2868,70237
2000-01,44721,31337,2124,2415,80597
2001-02,53507,35920,2162,1465,93054
2002-03,66053,38113,2681,1225,108072
2003-04,71243,39567,2662,890,114362
2004-05,77878,39245,2491,450,120064
2005-06,97336,42744,2547,306,142933
2006-07,97922,47071,3008,199,148200
2007-08,108540,46808,3062,220,158630
2008-09,114777,53128,3238,175,171318
2009-10,107868,56710,3544,501,168623
2010-11,113725,51243,3300,417,168685
2011-12,125755,54904,3700,639,184998
2012-13,128973,56335,3850,842,190000
2013-14,128550,57262,3850,338,190000
2014-15,127774,56950,4135,238,189097
2015-16,128550,57400,3512,308,189770
2016-17,123567,56220,3400,421,183608
2017-18,111099,47732,3350,236,162417
2018-19,109713,47247,3248,115,160323
2019-20,95843,41961,2481,81,140366
2020-21,79620,77372,3006,54,160052
2021-22,89063,51288,3006,199,143556
2022-23,142344,49500,3000,160,195004
2023-24,137100,49720,3000,180,190000
2024-25,132148,49500,3000,353,185001
