year,category,count
2015-16,Employer Sponsored,48250
2015-16,State/Territory Nominated,24650
2015-16,Skilled Independent,43994
2015-16,Business Innovation & Investment,7260
2015-16,Distinguished Talent,200
2015-16,Skilled Regional,4196
2015-16,Skill stream total,128550
2015-16,Partner,47825
2015-16,Parent,8675
2015-16,Other Family,900
2015-16,Family stream total,57400
2015-16,Child stream total,3512
2015-16,Special Eligibility total,308
2015-16,Total,189770
2016-17,Employer Sponsored,48250
2016-17,State/Territory Nominated,23765
2016-17,Skilled Independent,42422
2016-17,Business Innovation & Investment,7260
2016-17,Distinguished Talent,200
2016-17,Skilled Regional,1670
2016-17,Skill stream total,123567
2016-17,Partner,47825
2016-17,Parent,7563
2016-17,Other Family,832
2016-17,Family stream total,56220
2016-17,Child stream total,3400
2016-17,Special Eligibility total,421
2016-17,Total,183608
2017-18,Employer Sponsored,35528
2017-18,State/Territory Nominated,27400
2017-18,Skilled Independent,39137
2017-18,Business Innovation & Investment,7260
2017-18,Distinguished Talent,200
2017-18,Skilled Regional,1574
2017-18,Skill stream total,111099
2017-18,Partner,39799
2017-18,Parent,7371
2017-18,Other Family,562
2017-18,Family stream total,47732
2017-18,Child stream total,3350
2017-18,Special Eligibility total,236
2017-18,Total,162417
2018-19,Employer Sponsored,42012
2018-19,State/Territory Nominated,25346
2018-19,Skilled Independent,34247
2018-19,Business Innovation & Investment,7261
2018-19,Distinguished Talent,200
2018-19,Skilled Regional,647
2018-19,Skill stream total,109713
2018-19,Partner,39918
2018-19,Parent,6805
2018-19,Other Family,524
2018-19,Family stream total,47247
2018-19,Child stream total,3248
2018-19,Special Eligibility total,115
2018-19,Total,160323
2019-20,Employer Sponsored,29261
2019-20,State/Territory Nominated,21495
2019-20,Regional,23372
2019-20,Skilled Independent,12986
2019-20,Global Talent (Independent),4109
2019-20,Business Innovation & Investment,4420
2019-20,Distinguished Talent,200
2019-20,Skill stream total,95843
2019-20,Partner,37118
2019-20,Parent,4399
2019-20,Other Family,444
2019-20,Family stream total,41961
2019-20,Child stream total,2481
2019-20,Special Eligibility total,81
2019-20,Total,140366
2020-21,Employer Sponsored,23503
2020-21,State/Territory Nominated,14268
2020-21,Regional,13585
2020-21,Skilled Independent,7213
2020-21,Global Talent (Independent),9584
2020-21,Business Innovation & Investment,11198
2020-21,Distinguished Talent,269
2020-21,Skill stream total,79620
2020-21,Partner,72376
2020-21,Parent,4500
2020-21,Other Family,496
2020-21,Family stream total,77372
2020-21,Child stream total,3006
2020-21,Special Eligibility total,54
2020-21,Total,160052
2021-22,Employer Sponsored,26103
2021-22,State/Territory Nominated,19376
2021-22,Regional,18223
2021-22,Skilled Independent,5864
2021-22,Global Talent (Independent),8776
2021-22,Business Innovation & Investment,10496
2021-22,Distinguished Talent,225
2021-22,Skill stream total,89063
2021-22,Partner,46288
2021-22,Parent,4500
2021-22,Other Family,500
2021-22,Family stream total,51288
2021-22,Child stream total,3006
2021-22,Special Eligibility total,199
2021-22,Total,143556
2022-23,Employer Sponsored,35000
2022-23,State/Territory Nominated,31000
2022-23,Regional,33944
2022-23,Skilled Independent,32100
2022-23,Global Talent (Independent),5000
2022-23,Business Innovation & Investment,5000
2022-23,Distinguished Talent,300
2022-23,Skill stream total,142344
2022-23,Partner,40500
2022-23,Parent,8500
2022-23,Child (family),3000
2022-23,Other Family,500
2022-23,Family stream total,52500
2022-23,Special Eligibility total,160
2022-23,Total,195004
2023-24,Employer Sponsored,36825
2023-24,State/Territory Nominated,30400
2023-24,Regional,32300
2023-24,Skilled Independent,30375
2023-24,Global Talent (Independent),5000
2023-24,Business Innovation & Investment,1900
2023-24,Distinguished Talent,300
2023-24,Skill stream total,137100
2023-24,Partner,40720
2023-24,Parent,8500
2023-24,Child (family),3000
2023-24,Other Family,500
2023-24,Family stream total,52720
2023-24,Special Eligibility total,180
2023-24,Total,190000
2024-25,Employer Sponsored,44000
2024-25,State/Territory Nominated,33000
2024-25,Regional,32948
2024-25,Skilled Independent,16900
2024-25,Global Talent (Independent),3975
2024-25,Business Innovation & Investment,1000
2024-25,Distinguished Talent,300
2024-25,National Innovation,25
2024-25,Skill stream total,132148
2024-25,Partner,40500
2024-25,Parent,8500
2024-25,Child (family),3000
2024-25,Other Family,500
2024-25,Family stream total,52500
2024-25,Special Eligibility total,353
2024-25,Total,185001
