year,pathway,country,count
2016-17,Employer Sponsored,India,9873
2016-17,Employer Sponsored,United Kingdom,7955
2016-17,Employer Sponsored,Philippines,4558
2016-17,Employer Sponsored,South Africa,1346
2016-17,Employer Sponsored,Sri Lanka,556
2016-17,Employer Sponsored,People's Republic of China,4197
2016-17,Employer Sponsored,Nepal,1577
2016-17,Employer Sponsored,Ireland,2436
2016-17,Employer Sponsored,Brazil,805
2016-17,Employer Sponsored,Pakistan,713
2016-17,Employer Sponsored,Republic of Korea,1487
2016-17,Employer Sponsored,Italy,1023
2016-17,Employer Sponsored,Zimbabwe,158
2016-17,Employer Sponsored,Colombia,350
2016-17,Employer Sponsored,Vietnam,637
2016-17,Employer Sponsored,Other,10579
2017-18,Employer Sponsored,India,5148
2017-18,Employer Sponsored,United Kingdom,6335
2017-18,Employer Sponsored,Philippines,3474
2017-18,Employer Sponsored,South Africa,1346
2017-18,Employer Sponsored,Sri Lanka,381
2017-18,Employer Sponsored,People's Republic of China,2713
2017-18,Employer Sponsored,Nepal,748
2017-18,Employer Sponsored,Ireland,1511
2017-18,Employer Sponsored,Brazil,677
2017-18,Employer Sponsored,Pakistan,449
2017-18,Employer Sponsored,Republic of Korea,956
2017-18,Employer Sponsored,Italy,1028
2017-18,Employer Sponsored,Zimbabwe,111
2017-18,Employer Sponsored,Colombia,238
2017-18,Employer Sponsored,Vietnam,462
2017-18,Employer Sponsored,Other,9951
2018-19,Employer Sponsored,India,7224
2018-19,Employer Sponsored,United Kingdom,7256
2018-19,Employer Sponsored,Philippines,3484
2018-19,Employer Sponsored,South Africa,1518
2018-19,Employer Sponsored,Sri Lanka,487
2018-19,Employer Sponsored,People's Republic of China,2945
2018-19,Employer Sponsored,Nepal,1296
2018-19,Employer Sponsored,Ireland,1546
2018-19,Employer Sponsored,Brazil,1216
2018-19,Employer Sponsored,Pakistan,489
2018-19,Employer Sponsored,Republic of Korea,961
2018-19,Employer Sponsored,Italy,1248
2018-19,Employer Sponsored,Zimbabwe,93
2018-19,Employer Sponsored,Colombia,317
2018-19,Employer Sponsored,Vietnam,736
2018-19,Employer Sponsored,Other,11196
2019-20,Employer Sponsored,India,4718
2019-20,Employer Sponsored,United Kingdom,4275
2019-20,Employer Sponsored,Philippines,2583
2019-20,Employer Sponsored,South Africa,1145
2019-20,Employer Sponsored,Sri Lanka,429
