year,pathway,occupation,count
2015-16,Employer Sponsored,Registered Nurses,635
2015-16,Employer Sponsored,Chefs,637
2015-16,Employer Sponsored,Software and Applications Programmers,397
2015-16,Employer Sponsored,Accountants,557
2015-16,Employer Sponsored,Motor Mechanics,813
2015-16,Employer Sponsored,ICT Business and Systems Analysts,237
2015-16,Employer Sponsored,Civil Engineering Professionals,201
2015-16,Employer Sponsored,University Lecturers and Tutors,532
2015-16,Employer Sponsored,Police,25
2015-16,Employer Sponsored,"Industrial, Mechanical and Production Engineers",141
2015-16,Employer Sponsored,Other,17916
2016-17,Employer Sponsored,Registered Nurses,481
2016-17,Employer Sponsored,Chefs,671
2016-17,Employer Sponsored,Software and Applications Programmers,412
2016-17,Employer Sponsored,Accountants,577
2016-17,Employer Sponsored,Motor Mechanics,739
2016-17,Employer Sponsored,ICT Business and Systems Analysts,285
2016-17,Employer Sponsored,Civil Engineering Professionals,128
2016-17,Employer Sponsored,University Lecturers and Tutors,534
2016-17,Employer Sponsored,Police,9
2016-17,Employer Sponsored,"Industrial, Mechanical and Production Engineers",122
2016-17,Employer Sponsored,Other,18226
2017-18,Employer Sponsored,Registered Nurses,345
2017-18,Employer Sponsored,Chefs,367
2017-18,Employer Sponsored,Software and Applications Programmers,476
2017-18,Employer Sponsored,Accountants,455
2017-18,Employer Sponsored,Motor Mechanics,413
2017-18,Employer Sponsored,ICT Business and Systems Analysts,301
2017-18,Employer Sponsored,Civil Engineering Professionals,87
2017-18,Employer Sponsored,University Lecturers and Tutors,638
2017-18,Employer Sponsored,Police,11
2017-18,Employer Sponsored,"Industrial, Mechanical and Production Engineers",82
2017-18,Employer Sponsored,Other,12861
2018-19,Employer Sponsored,Registered Nurses,405
2018-19,Employer Sponsored,Chefs,702
2018-19,Employer Sponsored,Software and Applications Programmers,782
2018-19,Employer Sponsored,Accountants,596
2018-19,Employer Sponsored,Motor Mechanics,510
2018-19,Employer Sponsored,ICT Business and Systems Analysts,417
2018-19,Employer Sponsored,Civil Engineering Professionals,127
2018-19,Employer Sponsored,University Lecturers and Tutors,924
2018-19,Employer Sponsored,Police,5
2018-19,Employer Sponsored,"Industrial, Mechanical and Production Engineers",94
2018-19,Employer Sponsored,Other,15466
2019-20,Employer Sponsored,Registered Nurses,370
2019-20,Employer Sponsored,Chefs,489
2019-20,Employer Sponsored,Software and Applications Programmers,768
2019-20,Employer Sponsored,Accountants,470
2019-20,Employer Sponsored,Motor Mechanics,332
2019-20,Employer Sponsored,ICT Business and Systems Analysts,333
2019-20,Employer Sponsored,Civil Engineering Professionals,121
2019-20,Employer Sponsored,University Lecturers and Tutors,660
2019-20,Employer Sponsored,Police,0
2019-20,Employer Sponsored,"Industrial, Mechanical and Production Engineers",103
2019-20,Employer Sponsored,Other,9617
