year,category,count
2001-02,Visitor,3364335
2001-02,Special Category,964300
2001-02,Crew and Transit,34351
2001-02,Student,153631
2001-02,Working Holiday Maker,85241
2001-02,Temporary Resident (Other Employment),45681
2001-02,Temporary Resident (Skilled Employment),37892
2001-02,Other Temporary,6389
2001-02,Total,4691820
2002-03,Visitor,3265315
2002-03,Special Category,968417
2002-03,Crew and Transit,38254
2002-03,Student,162716
2002-03,Working Holiday Maker,88747
2002-03,Temporary Resident (Other Employment),51006
2002-03,Temporary Resident (Skilled Employment),41665
2002-03,Other Temporary,6346
2002-03,Total,4622466
2003-04,Visitor,3492097
2003-04,Special Category,1130623
2003-04,Crew and Transit,40667
2003-04,Student,171579
2003-04,Working Holiday Maker,93893
2003-04,Temporary Resident (Other Employment),51419
2003-04,Temporary Resident (Skilled Employment),42361
2003-04,Other Temporary,6810
2003-04,Total,5029449
2004-05,Visitor,3613350
2004-05,Special Category,1311194
2004-05,Crew and Transit,37952
2004-05,Student,175277
2004-05,Working Holiday Maker,105051
2004-05,Temporary Resident (Other Employment),51651
2004-05,Temporary Resident (Skilled Employment),49046
2004-05,Other Temporary,7709
2004-05,Total,5351230
2005-06,Visitor,3598896
2005-06,Special Category,1330974
2005-06,Crew and Transit,35651
2005-06,Student,191319
2005-06,Working Holiday Maker,115444
2005-06,Temporary Resident (Other Employment),46510
2005-06,Temporary Resident (Skilled Employment),71696
2005-06,Other Temporary,7681
2005-06,Total,5398171
2006-07,Visitor,3672485
2006-07,Special Category,1377978
2006-07,Crew and Transit,38590
2006-07,Student,230794
2006-07,Working Holiday Maker,136805
2006-07,Temporary Resident (Other Employment),45136
2006-07,Temporary Resident (Skilled Employment),87933
2006-07,Other Temporary,7783
2006-07,Total,5597504
2007-08,Visitor,3647946
2007-08,Special Category,1430189
2007-08,Crew and Transit,388828
2007-08,Student,278704
2007-08,Working Holiday Maker,157827
2007-08,Temporary Resident (Other Employment),44183
2007-08,Temporary Resident (Skilled Employment),111019
2007-08,Other Temporary,8407
2007-08,Total,6067103
2008-09,Visitor,3378969
2008-09,Special Category,1441125
2008-09,Crew and Transit,212192
2008-09,Student,319630
2008-09,Working Holiday Maker,194316
2008-09,Temporary Resident (Other Employment),52383
2008-09,Temporary Resident (Skilled Employment),101432
2008-09,Other Temporary,7972
2008-09,Total,5708019
2009-10,Visitor,3444262
2009-10,Special Category,1487375
2009-10,Crew and Transit,221585
2009-10,Student,270493
2009-10,Working Holiday Maker,183168
2009-10,Temporary Resident (Other Employment),56821
2009-10,Temporary Resident (Skilled Employment),68023
2009-10,Other Temporary,8255
2009-10,Total,5739982
2010-11,Visitor,3540505
2010-11,Special Category,1589422
2010-11,Crew and Transit,288995
2010-11,Student,250435
2010-11,Working Holiday Maker,192922
